zcta19,year,avg_download_speed,avg_upload_speed,tot_hs_providers,res_hs_providers
31018,2020,253.9246,239.6818,1,1
31019,2020,21.63351,3.009298,0,0
31020,2020,28.3821,5.814291,1,1
31021,2020,175.5649,7.708072,2,2
31022,2020,22.16257,3.312246,0,0
31023,2020,106.5591,6.779882,3,3
31024,2020,165.2019,23.65825,4,4
31025,2020,30.38414,10.87107,3,3
31027,2020,110.8339,10.76211,2,2
31028,2020,210.2897,52.04364,3,3
31029,2020,29.13045,11.55081,4,4
31030,2020,31.49732,3.699637,4,4
31031,2020,41.19493,11.93144,2,2
31032,2020,136.6959,39.28476,5,5
31033,2020,41.22102,26.70838,1,1
31035,2020,20.63211,2.301258,0,0
31036,2020,43.50453,5.557712,2,2
31037,2020,105.1706,20.08503,3,3
31038,2020,18.17747,2.728856,0,0
31039,2020,22.31579,3.382456,0,0
31041,2020,28.76175,13.38353,0,0
31042,2020,23.04674,6.977926,0,0
31044,2020,27.73412,11.2747,1,1
31045,2020,21.61765,2.441176,0,0
31046,2020,24.15054,2.900731,1,1
31047,2020,124.9833,46.48364,7,7
31049,2020,276.9753,261.988,2,2
31050,2020,31.57644,5.193111,1,1
31051,2020,48.54412,3.860294,1,1
31052,2020,142.9231,7.574876,1,1
31054,2020,30.25721,14.6271,0,0
31055,2020,172.0331,60.02122,3,3
31057,2020,31.81199,11.30831,1,1
31058,2020,21.10953,4.382861,0,0
31060,2020,27.38437,11.74247,0,0
31061,2020,209.388,54.53028,6,6
31062,2020,319.0235,115.1784,2,2
31063,2020,33.56849,17.60786,2,2
31064,2020,39.91515,7.105216,2,2
31065,2020,29.85288,12.79773,0,0
31066,2020,21.76794,3.606663,0,0
31067,2020,31.48235,2.816471,1,1
31068,2020,28.38588,11.86049,0,0
31069,2020,90.57301,40.09322,7,7
31070,2020,22.41909,3.142257,1,1
31071,2020,28.41183,12.82212,0,0
31072,2020,27.10209,11.56705,0,0
31075,2020,21.99134,3.076632,0,0
31076,2020,22.9129,4.193319,0,0
31077,2020,31.59004,13.70683,1,1
31078,2020,22.46648,4.30508,0,0
31079,2020,30.03494,13.35556,3,3
31081,2020,24.55315,3.133732,1,1
31082,2020,114.0501,14.07213,2,2
31083,2020,173.0142,56.7558,2,2
31084,2020,49.14286,35.64821,0,0
31085,2020,39.62885,2.899815,0,0
31087,2020,42.50908,3.471024,4,4
31088,2020,207.1853,46.40993,7,7
31089,2020,113.773,5.488109,1,1
31090,2020,26.29913,9.698122,0,0
31091,2020,29.61442,11.05839,1,1
31092,2020,85.92458,6.386543,2,2
31093,2020,197.4261,32.56704,4,4
31094,2020,121.3918,105.3376,1,1
31096,2020,33.81238,18.11208,1,1
31097,2020,26.5181,11.91837,0,0
31098,2020,121.4862,6.775663,2,2
31201,2020,169.5738,26.46337,4,4
31204,2020,243.0356,77.67194,2,2
31206,2020,208.8886,47.68255,2,2
31207,2020,121.1579,5.376,1,1
31210,2020,197.5736,43.01923,3,3
31211,2020,218.4914,60.63544,3,3
31213,2020,181,7.263333,1,1
31216,2020,203.3094,33.94353,2,2
31217,2020,155.0146,33.91329,3,3
31220,2020,154.8124,16.21495,2,2
31301,2020,146.04,7.221943,1,1
31302,2020,183.7854,50.74668,5,5
31303,2020,78.09129,63.04905,3,3
31304,2020,39.41667,5.669445,0,0
31305,2020,57.93254,10.79381,1,1
31307,2020,271.0016,135.033,3,3
31308,2020,358.0912,227.1763,6,6
31309,2020,74.98497,4.488191,1,1
31312,2020,347.69,224.0187,4,4
31313,2020,174.3136,10.65336,4,4
31314,2020,86.29869,5.0843,2,2
31315,2020,132.0904,10.27766,3,3
31316,2020,109.0024,36.32094,3,3
31318,2020,206.0597,22.85412,2,2
31320,2020,116.612,7.34466,4,4
31321,2020,325.8556,188.0548,3,3
31322,2020,242.2766,49.29152,5,5
31323,2020,83.08334,4.754461,1,1
31324,2020,166.8539,23.55103,5,5
31326,2020,216.7849,84.62438,5,5
31327,2020,26.98084,4.936973,0,0
31328,2020,170.2962,7.046093,2,2
31329,2020,198.5713,104.2835,4,4
31331,2020,37.90642,6.998165,0,0
31401,2020,130.7755,17.84688,3,3
31404,2020,167.6954,34.42998,3,3
31405,2020,166.9232,32.71326,3,3
31406,2020,170.4967,22.40412,3,3
31407,2020,276.152,132.5681,5,5
31408,2020,120.0035,18.45606,3,3
31409,2020,106.5172,16.07047,1,1
31410,2020,178.1769,7.499756,2,2
31411,2020,140.1164,12.37449,2,2
31415,2020,128.9548,14.84181,3,3
31419,2020,188.5425,47.09331,3,3
31501,2020,186.7964,31.44466,4,4
31503,2020,129.4753,11.61313,3,3
31510,2020,35.29888,3.688058,2,2
31512,2020,80.83904,15.09955,2,2
31513,2020,42.4193,17.75825,2,2
31516,2020,38.7543,13.45486,1,1
31518,2020,25.90436,3.147819,0,0
31519,2020,100.4583,17.03202,3,3
31520,2020,174.4979,25.5821,3,3
31522,2020,172.694,27.40614,3,3
31523,2020,127.01,16.79473,3,3
31524,2020,48.27619,3.36381,1,1
31525,2020,166.1069,27.58091,4,4
31527,2020,121.7318,5.548449,1,1
31532,2020,20.26966,2.349438,0,0
31533,2020,208.7699,63.17197,4,4
31535,2020,150.8322,33.48127,4,4
31537,2020,54.81128,37.0485,2,2
31539,2020,112.997,14.95898,3,3
31542,2020,37.26162,22.68897,0,0
31543,2020,37.41954,18.32578,1,1
31544,2020,29.8391,12.86674,0,0
31545,2020,150.8951,16.31647,2,2
31546,2020,114.5898,6.847749,2,2
31547,2020,102.5231,14.95387,2,2
31548,2020,251.9503,43.73642,4,4
