GEO_ID,NAME,C15002I_001E,C15002I_001M,C15002I_002E,C15002I_002M,C15002I_003E,C15002I_003M,C15002I_004E,C15002I_004M,C15002I_005E,C15002I_005M,C15002I_006E,C15002I_006M,C15002I_007E,C15002I_007M,C15002I_008E,C15002I_008M,C15002I_009E,C15002I_009M,C15002I_010E,C15002I_010M,C15002I_011E,C15002I_011M,
860Z200US36036,ZCTA5 36036,7,11,0,13,0,13,0,13,0,13,0,13,7,11,0,13,7,11,0,13,0,13,
860Z200US36037,ZCTA5 36037,164,68,102,49,25,30,33,44,35,54,9,13,62,43,11,17,51,42,0,20,0,20,
860Z200US36038,ZCTA5 36038,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36039,ZCTA5 36039,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36040,ZCTA5 36040,19,26,11,21,8,16,3,11,0,13,0,13,8,13,0,13,0,13,8,13,0,13,
860Z200US36041,ZCTA5 36041,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36042,ZCTA5 36042,5,10,5,10,0,13,5,10,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36043,ZCTA5 36043,200,251,174,209,91,127,62,84,21,38,0,13,26,45,26,45,0,13,0,13,0,13,
860Z200US36046,ZCTA5 36046,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36047,ZCTA5 36047,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36048,ZCTA5 36048,4,7,2,3,0,13,0,13,2,3,0,13,2,4,2,4,0,13,0,13,0,13,
860Z200US36049,ZCTA5 36049,125,72,102,70,0,18,15,25,0,18,87,69,23,30,0,18,23,30,0,18,0,18,
860Z200US36051,ZCTA5 36051,84,116,58,84,0,13,55,80,0,13,3,12,26,38,0,13,25,37,1,5,0,13,
860Z200US36052,ZCTA5 36052,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36053,ZCTA5 36053,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36054,ZCTA5 36054,668,213,329,131,112,86,46,66,79,77,92,95,339,145,62,79,168,106,57,56,52,69,
860Z200US36057,ZCTA5 36057,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36064,ZCTA5 36064,133,79,50,47,14,23,16,28,11,19,9,14,83,62,15,22,2,3,52,60,14,16,
860Z200US36066,ZCTA5 36066,323,128,134,121,33,50,23,38,19,32,59,88,189,49,0,24,9,19,85,83,95,87,
860Z200US36067,ZCTA5 36067,563,184,365,180,18,31,132,101,26,43,189,183,198,109,17,28,91,80,25,33,65,67,
860Z200US36069,ZCTA5 36069,6,10,6,10,6,10,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36071,ZCTA5 36071,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36075,ZCTA5 36075,72,78,70,78,70,78,0,13,0,13,0,13,2,4,0,13,0,13,2,4,0,13,
860Z200US36078,ZCTA5 36078,143,104,88,89,44,71,17,20,0,20,27,47,55,68,16,30,39,62,0,20,0,20,
860Z200US36079,ZCTA5 36079,73,71,63,68,5,12,37,50,0,18,21,43,10,14,8,13,0,18,0,18,2,5,
860Z200US36080,ZCTA5 36080,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36081,ZCTA5 36081,64,55,27,28,4,13,9,16,0,20,14,19,37,43,0,20,14,23,0,20,23,36,
860Z200US36082,ZCTA5 36082,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36083,ZCTA5 36083,12,19,0,18,0,18,0,18,0,18,0,18,12,19,5,10,7,14,0,18,0,18,
